# 2023年7月 日本語能力試験 N1 — 答案
# 来源：2023年7月N1答案+解析+听力原文.pdf（sha256 73361982827f…）第 1 页（笔试）、第 2 页（听力）
note 此处给出的计分准则仅限参考，实际考试采用尺度得点方式。答案为参考答案，非官方标准答案。

# ---- 第一部分 言語知識（文字・語彙・文法） ----
written   1-6     1   413423
written   7-13    1   2234114
# 来源 PDF 的「问题3」只印了 5 位（32314），但试卷 問題3 实为 14-19 共 6 题（见真题第 1 页）。
# 缺的是第 14 题；由题面「この条約が締結されると、農業に影響が出ることが<u>懸念</u>される」
# 对应选项 2「心配」补回，其余 5 位与来源逐位一致。
written   14-19   1   232314
dispute   14      来源答案表漏印本题答案，此处按「懸念 → 心配」补回，与官方答案可能存在出入。
written   20-25   1   423131
written   26-35   2   4313242131
written   36-40   2   13424
written   41-44   1   4434

# TODO 問題6 並べ替え的 order 行尚未录入：来源 PDF 第 1-2 页只给答案数字，
# 片段排列顺序需从第 3-87 页的扫描版解析中读取（该书 3 页以后无文本层）。
# 组装前必须补齐——sentence-composition 缺 answerOrder 会被审计判为 error。
# 已确认本卷 ★ 空位逐题不同（㊳ 在第 3 空、㊱㊲ 在第 2 空），录入时须用 order 行第 3 个字段声明。

# ---- 第二部分 読解 ----
written   45-48   2   1322
written   49-56   2   34423414
written   57-59   3   334
written   60-61   3   31
written   62-64   3   434
written   65-66   2   24

# ---- 第三部分 聴解 ----
listening 1       1   13213
listening 2       1   214134
listening 3       2   11442
listening 4       2   21233123221
listening 5       3   113
