stableCode,session,questionCount,forms,completeness,reviewGrade
eju-2002-2-japanese-ja,2002-2,13,JAPANESE_JA,PARTIAL,MACHINE_ATTESTED
eju-2002-2-science-ja,2002-2,38,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2003-1-japanese-ja,2003-1,11,JAPANESE_JA,PARTIAL,MACHINE_ATTESTED
eju-2003-1-science-ja,2003-1,13,PHYSICS_JA,PARTIAL,MACHINE_ATTESTED
eju-2003-2-japan-world-ja,2003-2,29,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2003-2-japanese-ja,2003-2,14,JAPANESE_JA,PARTIAL,MACHINE_ATTESTED
eju-2003-2-science-ja,2003-2,41,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2004-1-japan-world-ja,2004-1,17,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2004-1-science-ja,2004-1,17,BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2004-2-japan-world-ja,2004-2,29,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2004-2-japanese-ja,2004-2,13,JAPANESE_JA,PARTIAL,MACHINE_ATTESTED
eju-2004-2-science-ja,2004-2,45,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2005-1-japan-world-ja,2005-1,25,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2005-1-japanese-ja,2005-1,13,JAPANESE_JA,PARTIAL,MACHINE_ATTESTED
eju-2005-1-science-ja,2005-1,37,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2005-2-japan-world-ja,2005-2,34,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2005-2-japanese-ja,2005-2,13,JAPANESE_JA,PARTIAL,MACHINE_ATTESTED
eju-2005-2-science-ja,2005-2,38,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2006-1-japan-world-ja,2006-1,34,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2006-1-japanese-ja,2006-1,13,JAPANESE_JA,PARTIAL,MACHINE_ATTESTED
eju-2006-1-science-ja,2006-1,27,PHYSICS_JA;CHEMISTRY_JA,PARTIAL,MACHINE_ATTESTED
eju-2006-2-japan-world-ja,2006-2,32,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2006-2-japanese-ja,2006-2,10,JAPANESE_JA,PARTIAL,MACHINE_ATTESTED
eju-2006-2-science-ja,2006-2,37,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2007-1-japan-world-ja,2007-1,34,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2007-1-japanese-ja,2007-1,10,JAPANESE_JA,PARTIAL,MACHINE_ATTESTED
eju-2007-1-science-ja,2007-1,51,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2007-2-japan-world-ja,2007-2,36,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2002-1-japanese-ja,2002-1,20,JAPANESE_JA,PARTIAL,MACHINE_ATTESTED
eju-2007-2-japanese-ja,2007-2,14,JAPANESE_JA,PARTIAL,MACHINE_ATTESTED
eju-2002-1-science-ja,2002-1,34,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2007-2-science-ja,2007-2,16,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2002-2-japan-world-ja,2002-2,34,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2008-1-japan-world-ja,2008-1,36,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2008-1-japanese-ja,2008-1,13,JAPANESE_JA,PARTIAL,MACHINE_ATTESTED
eju-2008-1-science-ja,2008-1,45,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2008-2-japan-world-ja,2008-2,29,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2008-2-japanese-ja,2008-2,13,JAPANESE_JA,PARTIAL,MACHINE_ATTESTED
eju-2008-2-science-ja,2008-2,50,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2009-1-japan-world-ja,2009-1,34,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2009-1-japanese-ja,2009-1,11,JAPANESE_JA,PARTIAL,MACHINE_ATTESTED
eju-2009-1-math-c2-ja,2009-1,6,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2009-1-science-ja,2009-1,52,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2009-2-japan-world-ja,2009-2,33,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2009-2-japanese-ja,2009-2,13,JAPANESE_JA,PARTIAL,MACHINE_ATTESTED
eju-2009-2-science-ja,2009-2,44,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2010-1-japan-world-ja,2010-1,30,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2010-1-math-c1-ja,2010-1,6,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2010-1-science-ja,2010-1,38,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2010-2-japan-world-ja,2010-2,30,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2010-2-science-ja,2010-2,37,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2011-1-japan-world-ja,2011-1,9,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2011-1-math-c1-ja,2011-1,6,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2011-1-science-ja,2011-1,55,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2011-2-japan-world-ja,2011-2,16,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2011-2-math-c1-ja,2011-2,6,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2011-2-math-c2-ja,2011-2,6,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2011-2-science-ja,2011-2,20,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2012-1-japan-world-ja,2012-1,33,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2012-1-math-c1-ja,2012-1,6,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2012-1-science-ja,2012-1,42,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2012-2-japan-world-ja,2012-2,28,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2012-2-math-c1-ja,2012-2,6,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2012-2-math-c2-ja,2012-2,5,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2012-2-science-ja,2012-2,31,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2013-1-japan-world-ja,2013-1,28,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2013-1-math-c2-ja,2013-1,2,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2013-1-science-ja,2013-1,39,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2013-2-japan-world-ja,2013-2,30,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2013-2-math-c1-ja,2013-2,6,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2013-2-math-c2-ja,2013-2,6,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2013-2-science-ja,2013-2,40,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2014-1-japan-world-ja,2014-1,8,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2014-1-math-c1-ja,2014-1,6,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2014-1-math-c2-ja,2014-1,5,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2014-1-science-ja,2014-1,36,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2014-2-japan-world-ja,2014-2,33,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2014-2-math-c1-ja,2014-2,6,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2014-2-science-ja,2014-2,42,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2015-1-japan-world-ja,2015-1,32,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2015-1-math-c1-ja,2015-1,6,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2015-1-science-ja,2015-1,41,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2015-2-japan-world-ja,2015-2,34,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2015-2-math-c2-ja,2015-2,4,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2015-2-science-ja,2015-2,31,PHYSICS_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2016-1-japan-world-ja,2016-1,32,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2016-1-science-ja,2016-1,39,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2016-2-japan-world-ja,2016-2,16,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2016-2-math-c1-ja,2016-2,6,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
